title,comment_count,averge_price,type,area,recommend,group_purchase,preferential
胖娃川菜馆(商城路路南店),781,￥56,川菜馆,康桥商务广场,歌乐山辣子鸡， 土豆丝， 毛血旺,无,无
炉小哥烤肉(大卫城店),10202,￥90,融合烤肉,丹尼斯·大卫城,粒粒拉丝芝士炒饭， 澳洲霜降肥牛， 澳洲雪花肥牛,炉小哥烤肉!满足四人餐,无
蓉亭食贝(郑东商业中心店),2735,￥82,川菜馆,郑州东站,蓉派招牌毛血旺， 蓉派鸡丝凉面， 蓉派馋嘴蛙,蓉亭食贝![食贝上新]春味4人餐,有
鸟安Izakaya居酒屋,2077,￥126,日本料理,熙地港/王府井,鹅肝寿司， 寿喜锅， 肋条牛小排,鸟安Izakaya居酒屋!仅售43.2元！价值72元的午市一人餐。,有
寻味小馆(政七街店),3680,￥68,特色菜,农科路酒吧街,台式三杯鸡， 招牌糖醋小排骨， 炝炒高丽菜,寻味小馆!经典双人餐,无
鹅娘盛塘地锅(经开区店),930,￥74,东北菜,经开区,雁鹅， 玉米饼， 茶树菇,鹅娘锦塘地锅!【排骨3斤+五花肉】2-3人餐,无
华豫川酒家(花园路万达坊店),1423,￥99,川菜馆,建业凯旋广场,藤椒太安鱼， 清一色毛血旺， 鸡丝拌荞面,华豫川酒家!金牌回锅肉双人餐,有
善缘聚素食(郑州总店),1124,￥87,素食,郑东新区CBD,紫薯薄皮包， 招牌紫茄， 禅阅书卷,善缘聚素食!仅售95元！价值100元的代金券1张，除酒水、饮料、包间外全场通用，可叠加使用4张。,无
巴黎之花法国餐厅(CBD店),1245,￥486,西餐,郑东新区CBD,法式经典香煎鹅肝， 招牌马赛鱼汤， 法式香草焗蜗牛,巴黎之花法国餐厅!仅售39.9元！价值88元的法式蛋白柠檬塔佐香草冰淇淋1份。,无
会飞的鸡FlyingChicken(金水店),1171,￥45,韩式料理,正弘中心,甜辣酱， 韩式薯格， 无骨炸鸡,会飞的鸡FlyingChicken!【情人节专享】双人鸡翅中套餐,无
铁板诱惑法式铁板烧(大卫城店&和牛寿喜烧店),5740,￥280,自助餐,丹尼斯·大卫城,法国鹅肝， 刺身拼盘， 芝士焗龙虾仔,铁板诱惑法式铁板烧!【大卫城店专享】单人和牛寿喜烧海鲜自助,有
北角秀味港式茶餐厅(锦艺城店),1679,￥59,茶餐厅,锦艺城/王府井,虾饺皇， 菠萝油， 黑金流沙包,北角秀味港式茶餐厅!仅售95元！价值100元的代金券1张，全场通用，仅限使用1张。,无
粉十二螺蛳粉(农科路店),2876,￥27,小吃快餐,建业凯旋广场,七爷招牌螺蛳粉， 干捞螺蛳粉， 七爷炒螺蛳粉,粉十二螺蛳粉!招牌螺蛳粉（汤粉）,无
汴梁斋牛肉馅饼(管城店),531,￥10,快餐简餐,西大街,牛肉大葱馅饼， 麻辣鸡肉馅饼， 牛肉馅饼内,汴梁斋牛肉馅饼!仅售22元！价值32元的【三十年老店】金丝牛肉馅饼4份。,无
大智若鱼·新国风鱼火锅(熙地港店),2552,￥89,鱼火锅,宝龙城市广场/熙地港,美龄粥， 原味绿豆糕， 麻辣鱼,大智若鱼·新国风鱼火锅!大智若鱼2-3人套餐,无
俄士厨房(未来路店),16879,￥101,俄罗斯菜,曼哈顿广场/英协路,鸡肉串， 莫斯科红菜汤， 俄式拌香鸡,俄士厨房!工作日限定双人餐,无
禾珍珠家常小馆(河南博物院店),3284,￥60,豫菜,国贸360,土豆炖牛腩， 生煎茼蒿， 鲜椒鸡,禾珍珠家常小馆!【招牌必点】双人餐,无
半丘现烤面包·生日蛋糕(龙湖里店),2025,￥36,面包蛋糕,宝龙城市广场/熙地港,核桃布里欧修， 香草泡芙， 20%黑麦水果棍,半丘现烤面包·生日蛋糕!仅售88元！价值100元的代金券1张，仅适用于面包、自制饼干、切块蛋糕、自制饮品，可叠加使用。,无
俄士厨房(印象汇店),9330,￥98,俄罗斯菜,建业路/英协花园,鸡肉串， 俄式拌香鸡， 莫斯科红菜汤,俄士厨房!工作日限定双人餐,无
华豫川酒家(锦艺城店),2111,￥90,川菜馆,锦艺城/王府井,藤椒太安鱼， 清一色毛血旺， 鸡丝拌荞面,华豫川酒家!精致毛血旺双人餐,有
有间餐吧,776,￥53,川菜馆,大石桥/体育场,酸辣面， 炒馍， 重庆辣子鸡,无,无
华豫川酒家(双子塔店),2288,￥102,川菜,体育公园,太安鲈鱼， 鸡丝拌荞面， 清一色毛血旺,华豫川酒家!金牌回锅肉双人餐,有
宝正臻天津包子总店(金阳光居易店),1545,￥33,小吃,东风路,传统猪肉包， 宝正臻素包， 酸辣汤,宝正臻天津包子总店!仅售42元！价值48元的宝正臻天津包子双人餐。,无
九田家黑牛烤肉料理(二七万达店),8525,￥93,韩式烤肉,二七万达,黑牛肋条， 照烧鸡腿饭， 厚切猪五花,九田家黑牛烤肉料理!【一人食】面食套餐,无
嵩山不一般水席文化餐厅,907,￥79,豫菜,登封一中/国际商贸城,嵩山不一般【宴菜】， 酸辣肚丝汤， 烧饼,嵩山不一般水席文化餐厅!嵩山不一般【甄选4人餐】,无
白石的深夜食堂·Yakitori(正弘城店),5940,￥88,日本料理,正弘中心,鳗鱼饭， 鹅肝手握， 芝士芒果虾,白石的深夜食堂!约会氛围感双人餐,有
小拙匠火锅(玉兰街店),1529,￥66,火锅,科学大道,手打虾滑， 厚切牛肉， 现炸小酥肉,小拙匠火锅!【围炉开涮】美味三人餐,无
湊湊火锅·茶憩(正弘城店),4264,￥102,火锅,正弘中心,鸭血豆腐无限续， 大红袍珍珠奶茶， 飞鱼籽墨鱼滑,湊湊火锅·茶憩!【春鲜食光】畅享4人餐,无
二人烧(健康路店),3753,￥88,韩式烤肉,大石桥/体育场,玉米芝士， 蟹柳飞鱼籽手抓饭， 招牌LA牛排,二人烧!仅售47.5元！价值50元的代金券1张，除酒水、饮料外全场通用，可叠加使用，可免费使用包间。,无
厚道寿喜烧専門店·自助畅食(万达坊店),2741,￥112,寿喜锅/烧自助,正弘中心,獭祭寿喜锅， 朝一鸡蛋， 牛五花肉,厚道寿喜烧専門店·自助畅食!体验儿童单人自助（1米-1.3儿童可享）【美团专场】,无
煜丰汴京烤鸭(福彩路店),1559,￥80,豫菜,省电视台,煜丰汴京烤鸭， 高炉烧饼， 滋补鸭汤,煜丰汴京烤鸭!仅售95元！价值100元的代金券1张，全场通用，可叠加使用。,无
巴奴毛肚火锅(商鼎路店),2702,￥138,重庆火锅,郑州东站,新西兰毛肚， 巴奴毛肚， 茴香小油条,巴奴毛肚火锅!【入会即享】红糖糍粑,有
永和铂爵国际酒店-威斯蒂娜西餐厅,6933,￥221,海鲜自助,郑东新区CBD,波士顿龙虾， 拿破仑酥， 液氮冰淇淋,永和铂爵国际酒店-威斯蒂娜西餐厅!【自助餐】儿童自助晚餐,无
窗外西餐厅(普罗理想国店),806,￥191,西餐,中牟县,野生菌浓汤， 烤澳洲谷饲大战斧牛排， 开餐面包Bun,窗外西餐厅!【踏青露营】家庭2-3人餐（限时售卖）,无
